,id,name,selver_guess,price,selver_price,price/kg,selver_price_kg,similarity
2991,192834,Kurkum jahvatatud Santa Maria 20g,"Kurkum jahvatatud, 20g, SANTA MARIA",0.99,0.85,49.5,42.5,100
531,211267,Salatisibul kg,"Salatisibul, kg",1.1,2.29,2.19,2.29,100
2938,1004032,Kaerajahu täistera Veski Mati 1kg,"Täistera kaerajahu, VESKI MATI, 1kg",2.39,2.69,2.39,2.69,100
8525,401479,Tampoonid O.B. Normal 16 tk,"Tampoonid Normal, O.B., 16 tk",3.39,3.29,0.21,0.21,100
488,212564,Muskaatkõrvits kg,"Muskaatkõrvits, kg",5.92,1.29,1.69,1.29,100
5307,169175,Piimašokolaad Milka Oreo 300g,"Piimašokolaad Oreo, MILKA, 300g",3.99,3.89,13.3,12.97,100
494,217120,Juurseller kg,"Juurseller, kg",2.07,1.99,1.59,1.99,100
2822,196797,Pannkoogimoos Meie Mari 350g,"Pannkoogimoos, MEIE MARI, 350g",2.39,2.39,6.83,6.83,100
4509,1009601,Salatikaste viigimarja&sinepi Thomy 350ml,"Viigimarja-sinepi salatikaste, THOMY, 350ml",2.79,3.39,7.71,9.69,100
9615,402499,Habemeajamisvaht Nivea sensitive 200 ml,"Habemeajamisvaht Sensitive, NIVEA, 200 ml",5.29,4.99,26.45,24.95,100
3539,134100,Sidrunipipar Santa Maria 300g,"Sidrunipipar , 300g, SANTA MARIA",7.69,6.99,25.63,23.3,100
2760,179935,Kaerahelbed täistera jämedad Tartu Mill 1kg,"Täistera jämedad kaerahelbed, TARTU MILL, 1kg",2.29,1.89,2.29,1.89,100
4449,1008567,Salsa kaste Salvest 360g,"Salsa kaste, SALVEST, 360g",2.49,2.29,6.92,6.36,100
4386,1005036,Kaste ameerikapärane hot dog Heinz 400ml,"Hot dog kaste Ameerikapärane, HEINZ, 400ml",4.05,4.29,9.64,10.73,100
530,285981,Arbuus kg,"Arbuus, kg",12.94,1.59,1.99,1.59,100
2400,952830,Mitmevilja pala Leibur 220g,"Mitmevilja pala, LEIBUR, 220g",1.29,1.29,5.86,5.86,100
2940,191183,"Tšillipipar Red Hot, helbed Santa Maria 28g","Tšillipipar Red Hot, helbed, 28g, SANTA MARIA",2.69,2.09,96.07,74.64,100
8770,401480,Tampoonid O.B. Super 16 tk,"Tampoonid Super, O.B., 16 tk",3.39,3.29,0.21,0.21,100
3551,1005948,Kaste magushapu Salvest 460g,"Kaste Magushapu, SALVEST, 460g",2.45,2.19,5.33,4.76,100
557,268818,Melon roheline kg,"Melon roheline, kg",5.86,2.99,2.79,2.99,100
2333,952827,Röstsai Kuldne Brioche Leibur 260g,"Kuldne Brioche röstsai, LEIBUR, 260g",1.59,1.59,6.12,6.12,100
378,961131,"Banaan mahe, kg","Mahe Banaan, kg",2.19,2.99,2.19,2.99,100
4368,1008851,Punane praekapsas Salvest 530g,"Punane praekapsas, SALVEST, 530g",2.59,1.89,4.89,3.57,100
2260,934104,Must Pidupäevaleib Fazer 500g,"Must Pidupäevaleib, FAZER, 500g",1.79,1.79,3.58,3.58,100
9321,7039648,Šampoon Head&Shoulders apple 400 ml,"Šampoon Apple, HEAD&SHOULDERS, 400 ml",8.39,7.99,20.97,19.97,100
4365,1005049,Burgerikaste ameerikapärane Heinz 400ml,"Burgerikaste Ameerikapärane, HEINZ, 400ml",4.05,4.29,9.64,10.73,100
3552,134097,Kartulimaitseaine Santa Maria 350g,"Kartulimaitseaine, 350g, SANTA MARIA",5.05,4.69,14.43,13.4,100
2108,996202,Taimevalgu haks Thormi 200g,"Taimevalgu Haks, THORMI, 200g",3.99,3.79,19.95,18.95,100
2056,980146,Ahjubroiler kodune Maks&Moorits kg,"Kodune ahjubroiler, MAKS&MOORITS, kg",9.98,5.59,0.0,5.59,100
3569,127272,Must terapipar Santa Maria 210g,"Must terapipar, 210g, SANTA MARIA",9.35,8.49,44.52,40.43,100
9389,409111,Habemeajamisgeel Nivea sensitive 200 ml,"Habemeajamisgeel Sensitive, NIVEA, 200 ml",6.49,5.99,32.45,29.95,100
5185,139448,Piimašokolaad tervete pähklitega Milka 250g,"Piimašokolaad tervete pähklitega, MILKA, 250g",3.99,3.89,15.96,15.56,100
4314,1002934,Mesi kreemjas Sireli 250g,"Kreemjas mesi, SIRELI, 250g",3.75,3.39,15.0,13.56,100
413,267980,Laim kg,"Laim, kg",0.96,3.99,3.99,3.99,100
3252,1005949,Pastakaste köögiviljadega Salvest 460g,"Pastakaste köögiviljadega, SALVEST, 460g",2.39,2.19,5.2,4.76,100
376,275290,Kurk Luunja kg,"Kurk Luunja, kg",1.25,5.49,4.99,5.49,100
372,270939,Banaan kg,"Banaan, kg",0.89,1.59,1.49,1.59,100
4888,165336,Piimašokolaad Milka Oreo 100g,"Piimašokolaad Oreo, MILKA, 100g",1.69,1.59,16.9,15.9,100
3323,100445,Kardemon jahvatatud Santa Maria 35g,"Kardemon jahvatatud, 35g, SANTA MARIA",4.45,3.99,127.14,114.0,100
396,286441,Bataat kg,"Bataat, kg",2.99,1.99,2.49,1.99,100
397,211266,Punane sibul kg,"Punane sibul, kg",0.33,1.19,1.09,1.19,100
400,210718,Granaatõun kg,"Granaatõun, kg",1.09,2.99,2.59,2.99,100
8467,400148,Varuterad Gillette Venus 4 tk,"Varuterad Venus, GILLETTE, 4 tk",14.49,12.99,3.62,3.25,100
408,269171,Suvikõrvits roheline kg,"Suvikõrvits roheline, kg",1.05,2.99,2.99,2.99,100
410,211258,"Pomel, kg","Pomel, kg",1.49,1.99,0.99,1.99,100
411,268817,Melon kollane kg,"Melon kollane, kg",3.38,2.49,1.99,2.49,100
3352,192848,Vürtsköömen Santa Maria 20g,"Vürtsköömen, 20g, SANTA MARIA",1.35,1.09,67.5,54.5,100
417,945941,"Kaalikas, kg","Kaalikas, kg",1.29,1.29,1.29,1.29,100
2956,192847,Küüslauk tükeldatud Santa Maria 25g,"Küüslauk tükeldatud, 25g, SANTA MARIA",1.35,0.99,54.0,39.6,100
419,211259,Porrulauk kg,"Porrulauk, kg",1.13,2.99,1.99,2.99,100
421,266415,Roheline sibul pakitud kg,"Roheline sibul pakitud, kg",1.6,12.99,9.99,12.99,100
5072,1003047,Maapähkel soolakaramellis Pähklinäpp 200g,"Soolakaramellis maapähkel, PÄHKLINÄPP, 200g",1.85,1.39,9.25,6.95,100
427,200833,Lillkapsas kg,"Lillkapsas, kg",4.19,2.79,2.99,2.79,100
428,276593,Ingver kg,"Ingver, kg",0.69,3.99,4.59,3.99,100
3071,191168,Pitsamaitseaine Santa Maria 9g,"Pitsamaitseaine, 9g, SANTA MARIA",1.69,1.09,187.78,121.11,100
3069,100570,Karri Santa Maria 34 g,"Karri, SANTA MARIA, 34 g",1.65,1.09,48.53,32.06,100
440,269165,Ananass kg,"Ananass, kg",4.16,1.79,1.89,1.79,100
3385,1004636,Ketšup Salvest 360g,"Ketšup, SALVEST, 360g",1.85,1.69,5.14,4.69,100
4660,171334,Tume šokolaad 70% Kalev Bitter 100g,"Tume šokolaad Bitter 70%, KALEV, 100g",1.89,1.79,18.9,17.9,100
3016,191186,Ürdiaia segu Santa Maria 29g,"Ürdiaia segu , 29g, SANTA MARIA",1.69,1.49,58.28,51.38,100
448,200835,Hiina kapsas kg,"Hiina kapsas, kg",1.95,1.49,1.39,1.49,100
5155,132356,Närimiskommide segu Drako Mix 420g,"Mix Närimiskommide segu, DRAKO, 420g",4.49,4.39,10.69,10.45,100
2041,200840,Ahjubroiler klassikaline Tallegg kg,"Klassikaline ahjubroiler, TALLEGG, kg",10.48,3.59,0.0,3.59,100
568,975051,"Kookospähkel, kg","Kookospähkel, kg",2.99,2.99,2.99,2.99,100
3265,100518,Broilerimaitseaine Santa Maria 43g,"Broilerimaitseaine, 43g, SANTA MARIA",1.65,1.09,38.37,25.35,100
9189,401089,Vedelseep Palmolive milk&honey 300 ml,"Vedelseep Milk&Honey, PALMOLIVE, 300 ml",2.79,2.99,9.3,9.97,100
1460,221852,Eestimaine broilerikoib kg Tallegg,"Eestimaine broilerikoib, TALLEGG, kg",3.19,4.39,3.99,4.39,100
6575,100351,Kohv lahustuv Jacobs Cronat Gold 100g,"Lahustuv kohv Cronat Gold, JACOBS, 100g",5.99,5.99,59.9,59.9,100
1433,981544,Ahjubroiler aiaürtidega Maks&Moorits kg,"Aiaürtidega ahjubroiler, MAKS&MOORITS, kg",9.98,5.79,4.99,5.79,100
3849,100565,Vanillikaun Santa Maria 3g,"Vanillikaun, 3g, SANTA MARIA",8.45,7.99,281.67,2663.33,100
1401,203208,Eestimaine broileripoolkoib kg Tallegg,"Eestimaine broileripoolkoib, TALLEGG, kg",2.0,4.59,3.99,4.59,100
3795,100564,Viie pipra segu Santa Maria 35g,"Viie pipra segu, 35g, SANTA MARIA",2.79,2.49,79.71,71.14,100
1371,201640,Eestimaine broiler kg Tallegg,"Eestimaine broiler, TALLEGG, kg",6.78,4.49,3.99,4.49,100
727,970389,Joogijogurt maasika-nektariini Alma 900g,"Joogijogurt maasika-nektariini, ALMA, 900g",1.65,1.29,1.83,1.43,100
4300,1002933,Mesi Sireli 250g,"Mesi, SIRELI, 250g",3.29,3.39,13.16,13.56,100
1050,924357,Salatijuust kitsepiimast Olympus 150g,"Salatijuust kitsepiimast, OLYMPUS, 150g",3.59,2.79,23.93,18.6,100
1075,963445,Täispiimajogurt ahjuõuna Alma 350g,"Täispiimajogurt ahjuõuna, ALMA, 350g",1.55,1.09,4.43,3.11,100
969,922972,Skyr virsikutega Farmi 150g,"Skyr virsikutega, FARMI, 150g",1.15,1.19,7.67,7.93,100
1172,941121,Sulatatud suitsujuust küüslauguga E-Piim 200g,"Sulatatud suitsujuust küüslauguga, E-PIIM, 200g",2.49,2.49,12.45,12.45,100
6320,1357463,Froosh mango & apelsini smuuti 750 ml,"Apelsini-mango smuuti, FROOSH, 750 ml",4.99,4.99,6.65,6.65,100
4196,1008842,Veiseliha raguu köögiviljadega Presto 350g,"Veiseliha raguu köögiviljadega, PRESTO, 350g",2.79,2.19,7.97,6.26,100
6344,194437,"Kakaojook Opti Start Nesquik 13,5 g","Kakaojook Opti Start, NESQUIK, 13,5 g",0.25,0.25,17.86,17.86,100
9218,7150649,Mitsellaarvesi Nivea sensitive 400 ml,"Mitsellaarvesi Sensitive, NIVEA, 400 ml",8.19,8.49,20.47,21.22,100
3798,127269,"Must pipar, purustatud Santa Maria 200g","Must pipar purustatud, 200g, SANTA MARIA",9.35,8.49,46.75,42.45,100
3811,191185,Must pipar jahvatatud Santa Maria 200g,"Must pipar jahvatatud , 200g, SANTA MARIA",8.35,8.49,41.75,42.45,100
6411,1355583,Froosh mango & apelsini smuuti 250 ml,"Mango-apelsini smuuti, FROOSH, 250 ml",2.69,2.69,10.76,10.76,100
4174,1008844,Chilli sin carne Presto 350g,"Chilli sin carne, PRESTO, 350g",2.79,2.79,7.97,7.97,100
1097,955468,Majonees mädarõikamaitseline Salvest 430g,"Mädarõikamaitseline majonees, SALVEST, 430g",2.19,2.19,5.09,5.09,100
1482,203114,Eestimaine broileripoolkoib Tallegg kg,"Eestimaine broileripoolkoib, TALLEGG, kg",2.39,4.59,3.99,4.59,100
1471,203207,Eestimaine broilerikints kg Tallegg,"Eestimaine broilerikints, TALLEGG, kg",2.65,4.59,3.79,4.59,100
3715,191187,Jahimehesegu Santa Maria 220g,"Jahimehesegu, 220g, SANTA MARIA",5.79,5.39,26.32,24.5,100
11761,7154426,Pika varrega hari+kühvel Vileda,"Hari + kühvel pika varrega, VILEDA,",14.49,16.99,14.49,16.99,100
1882,203115,Eestimaine broilerikints Tallegg kg,"Eestimaine broilerikints, TALLEGG, kg",2.39,4.59,3.99,4.59,100
4142,1008700,Hommikuhelbed Corn Flakes Kellogg's 375g,"Hommikuhelbed Corn Flakes, KELLOGG'S, 375g",4.19,3.99,11.17,10.64,100
9003,402310,Šampoon Schauma meestele 250 ml,"Šampoon meestele, SCHAUMA, 250 ml",3.69,3.79,14.76,15.16,100
3618,129129,Persillade Santa Maria 48g,"Persillade , 48g, SANTA MARIA",1.65,1.09,34.37,22.71,100
3636,191166,Sidrunipipar Santa Maria 55g,"Sidrunipipar, 55g, SANTA MARIA",2.35,2.19,42.73,39.82,100
829,922958,Skyr kirssidega Farmi 150g,"Skyr kirssidega, FARMI, 150g",1.15,1.19,7.67,7.93,100
1763,992827,Traditional salami Rakvere 150g,"Traditional salami, RAKVERE, 150g",3.89,2.99,25.93,19.93,100
3660,191188,Broilerimaitseaine Santa Maria 275g,"Broilerimaitseaine, 275g, SANTA MARIA",5.05,4.69,18.36,17.05,100
912,977892,Jogurtijook kreeka vaarika-virsiku Alma 275g,"Jogurtijook kreeka vaarika-virsiku, ALMA, 275g",1.19,1.19,4.33,4.33,100
1617,203113,Eestimaine broileritiib Tallegg kg,"Eestimaine broileritiib, TALLEGG, kg",2.57,4.79,4.29,4.79,100
1592,986557,Broilerikintsud seljata Rannamõisa 500g,"Broilerikintsud seljata, RANNAMÕISA, 500g",2.99,2.99,5.98,5.98,100
8202,491831,Kondoomid Durex Pleasuremax 3 tk,"Kondoomid Pleasuremax, DUREX, 3 tk",4.09,5.59,1.36,1.86,100
9091,7027437,Varuterad Gillette fusion 4 tk,"Varuterad Fusion, GILLETTE, 4 tk",28.09,21.9,7.02,5.48,100
8150,7032307,Hambapasta COLGATE WHITENING 100 ml,"Hambapasta Whitening, COLGATE, 100 ml",1.59,1.49,15.9,14.9,100
9845,704479,Juukselakk Taft Volume-up 250 ml,"Juukselakk Volume-Up, TAFT, 250 ml",5.89,5.69,23.56,22.76,100
1525,922941,Soolapeekon Nõo kg,"Soolapeekon, NÕO, kg",3.5,6.99,6.99,6.99,100
675,955480,Majonees kerge Salvest 430g,"Kerge majonees, SALVEST, 430g",2.19,2.19,5.09,5.09,100
3894,127277,Aroomisool Santa Maria 390g,"Aroomisool, SANTA MARIA, 390g",5.05,4.69,12.95,12.03,100
3375,192774,Taco maitseainesegu kanale Santa Maria 28g,"Taco maitseainesegu kanale, SANTA MARIA, 28 g,",1.85,1.69,66.07,60.36,99
3347,161029,Ürdisegu küüslauguga Santa Maria 28g,"Ürdisegu küüslauguga, SANTA MARIA, 28 g",1.35,0.95,48.21,33.93,99
3342,123078,Mulgipuder sealihaga Salvest 530g,"Mulgipuder sealihaga, SALVEST, 530 g",2.59,2.49,4.89,4.7,99
3872,163128,Pilaff suitsupeekoniga Salvest 530g,"Suitsupeekoniga pilaff, SALVEST, 530 g",3.09,2.39,5.83,4.51,99
3301,134096,Hakklihamaitseaine Santa Maria 280g,"Hakklihamaitseaine, SANTA MARIA, 280 g",4.85,4.69,17.32,16.75,99
3932,100256,Kaerahelbed kaerakliidega Nordic 600g,"Kaerahelbed kaerakliidega, NORDIC, 600 g",2.35,1.89,3.92,3.15,99
3989,181644,Jahvatatud must pipar Santa Maria 45g,"Jahvatatud must pipar, SANTA MARIA, 45 g",3.25,3.09,72.22,68.67,99
3986,1004598,Proteiinivahvel šokolaadi Nicks 40g,"Šokolaadi proteiinivahvel, NICKS, 40 g",2.49,2.39,62.25,59.75,99
3361,169405,Seljanka suitsuribilihaga Salvest 530g,"Suitsuribilihaga seljanka, SALVEST, 530 g",3.79,3.99,7.15,7.53,99
3841,108996,Lihamaitseaine ürdi-küüslaugu Santa Maria 20g,"Lihamaitseaine ürdi-küüslaugu, 230g, SANTA MARIA",1.09,5.39,54.5,23.43,99
3353,194505,Kartulipüree peekoni ja sibulaga Knorr 51g,"Kartulipüree peekoni ja sibulaga, KNORR, 51 g",1.89,1.79,37.06,35.1,99
3873,1004589,Proteiinibatoon maapähkli Nicks 50g,"Maapähkli proteiinibatoon, NICKS, 50 g",2.59,2.59,51.8,51.8,99
3837,181629,Marinaadisegu kurgile Santa Maria 100g,"Marinaadisegu kurgile, SANTA MARIA, 100 g",1.35,1.19,13.5,11.9,99
3346,191170,Kurkum jahvatatud Santa Maria 35g,"Kurkum jahvatatud, SANTA MARIA, 35 g",1.65,1.09,47.14,31.14,99
3587,194379,Karri ja mango maitseainesegu Santa Maria 41g,"Karri ja mango maitseainesegu, SANTA MARIA, 41 g",3.65,3.19,89.02,77.8,99
3380,100585,Must pipar purustatud Santa Maria 36g,"Must pipar purustatud, SANTA MARIA, 36 g",2.79,2.59,77.5,71.94,99
3529,152614,Juustusupp saiakuubikutega Maggi 19g,"Juustusupp saiakuubikutega, MAGGI, 19 g",0.59,0.59,31.05,31.05,99
3609,100318,Liha üldmaitseaine Santa Maria 35g,"Liha üldmaitseaine, SANTA MARIA, 35 g",1.15,0.99,32.86,28.29,99
3642,139765,Kissellipulber mustikamaitseline Mikaado 170g,"Mustikamaitseline kissellipulber, MIKAADO, 170 g",1.85,1.59,10.88,9.35,99
3665,119319,Salatimaitseaine ürtidega Santa Maria 30g,"Salatimaitseaine ürtidega, SANTA MARIA, 30 g",1.09,0.85,36.33,28.33,99
3668,177905,Kaste Tikka Masala Santa Maria 350g,"Tikka Masala kaste, SANTA MARIA, 350 g",3.85,3.49,11.0,9.97,99
3669,100282,Lihamaitseaine tuline Santa Maria 20g,"Tuline lihamaitseaine, SANTA MARIA, 20 g",1.09,0.69,54.5,34.5,99
3675,174376,Mulgipuder suitsupeekoniga Põltsamaa 530g,"Mulgipuder suitsupeekoniga, PÕLTSAMAA, 530 g",3.25,2.19,6.13,4.13,99
3549,109737,Kotletimaitseaine Santa Maria 28g,"Kotletimaitseaine, SANTA MARIA, 28 g",1.09,0.85,38.93,30.36,99
3547,100373,Kartulimaitseaine Santa Maria 30g,"Kartulimaitseaine, 350g, SANTA MARIA",1.09,4.69,36.33,13.4,99
3746,1004588,Proteiinibatoon karamelli Nicks 50g,"Karamelli proteiinibatoon, NICKS, 50 g",2.59,2.59,51.8,51.8,99
3541,181622,Universaalne maitseaine Santa Maria 160g,"Universaalne maitseaine, SANTA MARIA, 160 g",1.85,1.69,11.56,10.56,99
3747,187390,Maasikamoos pudelis Põltsamaa 390g,"Maasikamoos (pudelis), PÕLTSAMAA, 390 g",3.99,3.59,10.23,9.21,99
3388,175815,Magus tšillikaste Santa Maria 585g,"Magus tšillikaste, SANTA MARIA, 585 g",3.69,3.69,6.31,6.31,99
3508,140560,Pastakaste originale Panzani 400g,"Pastakaste Originale, PANZANI, 400 g",2.99,3.19,7.47,7.98,99
3499,103245,Guljašimaitseaine Santa Maria 40g,"Guljašimaitseaine, SANTA MARIA, 40 g",1.09,0.85,27.25,21.25,99
3495,122324,"Must pipar, jahvatatud Santa Maria 16g","Jahvatatud must pipar, SANTA MARIA, 16 g",1.49,1.29,93.12,80.63,99
3493,122837,Kissellipulber vaarikamaitseline Mikaado 170g,"Vaarikamaitseline kissellipulber, MIKAADO, 170 g",1.85,1.59,10.88,9.35,99
3755,107187,Ühepajatoit sealihaga Salvest 530g,"Ühepajatoit sealihaga, SALVEST, 530 g",3.29,2.19,6.21,4.13,99
3469,119011,Kalamaitseaine tilliga Santa Maria 25g,"Kalamaitseaine tilliga, SANTA MARIA, 25 g",1.09,0.85,43.6,34.0,99
3447,140559,Pastakaste Napoletana Panzani 400g,"Pastakaste Napoletana, PANZANI, 400 g",2.99,3.19,7.47,7.98,99
3420,100245,Kalamaitseaine sidruniga Santa Maria 23g,"Kalamaitseaine sidruniga, SANTA MARIA, 23 g",1.15,1.09,50.0,47.39,99
3797,100180,Liha üldmaitseaine Santa Maria 51g,"Liha üldmaitseaine, SANTA MARIA, 51 g",1.75,1.09,34.31,21.37,99
3394,100008,Kaste terav taco Santa Maria 230g,"Terav taco kaste, SANTA MARIA, 230 g",3.35,3.29,14.57,14.3,99
3428,134098,Liha üldmaitseaine Santa Maria 290g,"Liha üldmaitseaine, SANTA MARIA, 290 g",5.45,5.19,18.79,17.9,99
4836,103479,Kummikommid Haribo Kuldkarud 100g,"Kummikommid Kuldkarud, HARIBO, 100 g",1.15,1.29,11.5,12.9,99
3283,100575,Kaneel jahvatatud Santa Maria 40g,"Kaneel jahvatatud, SANTA MARIA, 40 g",1.65,1.09,41.25,27.25,99
2048,994335,Sealiharibad kukeseentega Maks&Moorits 500g,"Sealiharibad kukeseentega, MAKS&MOORITS, 500 g",3.29,4.99,0.0,9.98,99
703,952654,Kreeka jogurt maitsestamata Tere 350g,"Kreeka jogurt maitsestamata, TERE, 350 g",1.69,1.49,4.83,4.26,99
1499,941057,Täissuitsuvorst Pepperoni Oskar 210g,"Pepperoni täissuitsuvorst, OSKAR, 210 g",4.59,4.59,21.86,21.86,99
677,285917,Mozzarella kirsid Piimameister Otto 125g,"Mozzarella Kirsid, PIIMAMEISTER OTTO, 125 g",1.59,1.99,12.72,15.92,99
1606,7062752,Täislihaviiner suitsutatud Nõo 310g,"Suitsutatud täislihaviiner, NÕO, 310 g",3.59,3.59,11.58,11.58,99
1669,915620,Lihapihvid juustuga Maks&Moorits 400g,"Lihapihvid juustuga, MAKS&MOORITS, 400 g",2.99,3.39,7.47,8.48,99
1677,203060,Heeringafilee vähesoolane Kapten Grant 240g,"Heeringafilee vähesoolane, KAPTEN GRANT, 240 g",2.49,2.59,13.83,10.79,99
649,979303,Majonees Hellmann’s originaal 405ml,"Original majonees, HELLMANN'S, 405ml",2.99,2.79,7.38,6.89,99
1716,994863,Suitsuliha viilutatud Matsimoka 110g,"Suitsuliha viilutatud, MATSIMOKA, 110 g",2.29,2.19,20.82,19.91,99
1750,969675,Kanafileefriikad juustuga Tallegg 300g,"Kanafileefriikad juustuga, TALLEGG, 300 g",2.79,3.19,9.3,10.63,99
1804,266095,Veiseliha omas mahlas Rannarootsi 240g,"Veiseliha omas mahlas, RANNAROOTSI, 240 g",2.49,2.59,10.38,10.79,99
1819,906944,Rannaküla Praetud räimed tomatikastmes 240g,"Praetud räimed tomatikastmes, RANNAKÜLA, 240 g",2.65,2.49,11.04,10.38,99
1822,964034,Sprotid tomatikastmes Rannaküla 100g,"Sprotid tomatikastmes, RANNAKÜLA, 100 g",1.89,1.79,18.9,17.9,99
8992,7246445,Pulkdeodorant Old Spice Restart 50ml,"Pulkdeodorant Restart, OLD SPICE, 50 ml",4.69,4.49,93.8,89.8,99
1904,294442,Suitsutatud poolkoib Tallegg 600g,"Suitsutatud poolkoib, TALLEGG, 600 g",4.99,4.89,8.32,8.15,99
1952,968950,Paneeritud hakkšnitsel Maks&Moorits 400g,"Paneeritud hakkšnitsel, MAKS&MOORITS, 400 g",2.69,2.89,6.72,7.23,99
720,937108,Kodujuust klassikaline Piimameister Otto 330g,"Kodujuust klassikaline, PIIMAMEISTER OTTO, 330 g",2.19,1.69,6.64,5.12,99
739,200128,Sulatatud juust murulauguga Merevaik 200g,"Sulatatud juust murulauguga, MEREVAIK, 200 g",1.79,1.99,8.95,9.95,99
1162,904959,Toorjuust laktoosivaba Philadelphia 150g,"Toorjuust laktoosivaba, PHILADELPHIA, 150 g",3.29,2.59,21.93,17.27,99
802,206544,Sulatatud juust röstitud kanaga Merevaik 200g,"Sulatatud juust röstitud kanaga, MEREVAIK, 200 g",1.45,1.99,7.25,9.95,99
848,932491,Kodujuust karulaugupestoga Tere 300g,"Kodujuust karulaugupestoga, TERE, 300 g",1.89,1.59,6.3,5.3,99
873,903038,Majonees provansaal premium Tarplan 210g,"Majonees Provansaal Premium, TARPLAN, 210 g",1.55,1.49,7.38,7.1,99
908,922406,Proteiinijogurt maasika Valio ProFeel 200g,"Proteiinijogurt maasika, VALIO PROFEEL, 200 g",1.25,0.99,6.25,4.95,99
809,955476,Majonees klassikaline Salvest 430g,"Klassikaline majonees, SALVEST, 430 g",2.19,2.19,5.09,5.09,99
806,934294,Kohuke laktoosivaba vanilli Saare 40g,"Kohuke vanilli (laktoosivaba), SAARE, 40 g",0.49,0.49,12.25,12.25,99
932,200731,Toorjuust Light Philadelphia 200g,"Toorjuust Light, PHILADELPHIA, 200 g",3.19,2.59,15.95,12.95,99
975,923070,Majonees Oliivi Provansaal Lemmik 210g,"Majonees Oliivi Provansaal, LEMMIK, 210 g",1.45,1.49,6.9,7.1,99
761,287324,Juust Royal Gouda Yellow Valio 300g,"Royal Gouda Yellow juust, VALIO, 300 g",3.79,2.99,12.63,9.97,99
1001,204004,Sulatatud juust kukeseentega Merevaik 200g,"Sulatatud juust kukeseentega, MEREVAIK, 200 g",1.99,1.99,9.95,9.95,99
1030,950689,Sulatatud juust Old Saare MO Saaremaa 185g,"Sulatatud juust Old Saare, MO SAAREMAA, 185 g",1.89,1.39,10.22,7.51,99
1043,964873,Munavalged õrrekanade munadest WhitePro 1kg,"Munavalged õrrekanade munadest, WHITEPRO, 1 kg",8.99,6.99,8.99,6.99,99
1090,973377,Sulatatud juust kadaka MO Saaremaa 185g,"Kadaka sulatatud juust, MO SAAREMAA, 185 g",1.69,1.39,9.14,7.51,99
1096,902668,Salatikaste küüslauguga Tarplan 230g,"Salatikaste küüslauguga, TARPLAN, 230 g",1.55,1.49,6.74,6.48,99
765,944055,Sulatatud juust laktoosivaba Merevaik 200g,"Sulatatud juust 200 g, Laktoosivaba, MEREVAIK",1.79,1.59,8.95,7.95,99
1976,994037,Vokiroog sealihaga Maks&Moorits 500g,"Vokiroog sealihaga, MAKS&MOORITS, 500 g",4.29,2.99,8.58,5.98,99
2183,993757,Veggie riivitud Valio Oddlygood 150g,"Veggie riivitud, VALIO ODDLYGOOD, 150 g",2.79,2.29,18.6,15.27,99
3248,166504,Tordipulber Juubeli Tartu Mill 450g,"Juubeli tordipulber, TARTU MILL, 450 g",1.89,1.89,4.2,4.2,99
2236,993568,Kaeravahepala kirsi Valio Oddlygood 150g,"Kaeravahepala kirsi, VALIO ODDLYGOOD, 150 g",1.19,0.79,0.0,5.27,99
2964,122325,"Must pipar, purustatud Santa Maria 18g","Purustatud must pipar, SANTA MARIA, 18 g",1.39,1.29,77.22,71.67,99
4113,181658,Vokikaste soja-magus tšilli Santa Maria 150g,"Vokikaste soja-magus tšilli, SANTA MARIA, 150 g",2.75,2.59,18.33,17.27,99
3022,100590,Jahvatatud ingver Santa Maria 20g,"Jahvatatud ingver, SANTA MARIA, 20 g",1.09,0.85,54.5,42.5,99
3034,174851,Krõbe paneering kanale Santa Maria 50g,"Krõbe paneering kanale, SANTA MARIA, 50 g",1.89,1.79,37.8,35.8,99
3083,192850,Pähklibatoon tumedas šokolaadis Kalev 40g,"Pähklibatoon tumedas šokolaadis, KALEV, 40 g",1.49,1.29,37.25,32.25,99
3090,127253,Kaneel jahvatatud Santa Maria 210g,"Kaneel jahvatatud, SANTA MARIA, 210 g",6.05,5.49,30.25,26.14,99
3113,161026,"Koriander, purustatud Santa Maria 20g","Koriander purustatud, SANTA MARIA, 20 g",0.95,0.85,47.5,42.5,99
3116,172778,Kaera- ja riisihelbe segu Veski Mati 500g,"Kaera- ja riisihelbe segu, VESKI MATI, 500 g",1.99,1.99,3.98,3.98,99
3140,181620,Liha üldmaitseaine Santa Maria 70g,"Liha üldmaitseaine, SANTA MARIA, 70 g",1.55,1.49,22.14,21.29,99
3141,177862,Maitseainesegu Tikka Masala Santa Maria 35g,"Tikka Masala maitseainesegu, SANTA MARIA, 35 g",1.49,1.39,42.57,39.71,99
3165,142824,Marinaad teriyaki Santa Maria 75g,"Teriyaki marinaad, SANTA MARIA, 75 g",1.09,0.99,14.53,13.2,99
3216,155205,"Rukkitäisterajahu Tartu Mill 1,5kg","Rukkitäisterajahu, TARTU MILL, 1,5 kg",1.99,1.99,1.33,1.33,99
3228,181430,Vokikaste pad thai Santa Maria 150g,"Vokikaste Pad Thai, SANTA MARIA, 150 g",2.75,1.89,18.33,12.6,99
3240,100365,Hakklihamaitseaine Santa Maria 30g,"Hakklihamaitseaine, SANTA MARIA, 30 g",1.09,0.69,36.33,23.0,99
