,id,name,selver_guess,price,selver_price,price/kg,selver_price_kg,similarity
12374,7262332,Toidukarp Curver heleroheline 1l,"Beebikelk Cruiser roheline, STIGA, 1tk",7.39,27.9,7.39,27.9,59
12577,7208039,Pliiatsid BIC Evolution Must 4tk AW22,"Pastapliiats Joy must, CELLO, 1tk",1.59,0.35,1.59,0.35,59
4224,165339,Tšillipipra mix veski Kotanyi 34g,"Tšillipipar, SANTA MARIA, 34 g",3.99,2.09,117.35,61.47,59
9765,7268829,Hambapasta Dzintars Asari rabarberimait. 75ml,"Hambapasta Caries Defence, JORDAN, 75 ml",7.39,2.19,98.53,29.2,59
4518,1010611,Kartulikiujahu Semper Pofiber 125g,"Kartulipuder, SELVERI KÖÖK, 1kg",2.99,6.99,23.92,6.99,59
10715,7249132,Viltpliiatsid 6 värvi,"Viltpliiatsid, GIOTTO BE-BE, 6 tk",0.69,5.19,0.11,0.87,59
4284,147950,Peppercorn veski Kotanyi 35g,"Peenestatud tüümian, KOTANYI, 14 g",3.99,1.09,114.0,77.86,59
4299,1002657,Mar. peperonid pikantsed Mõisaproua 530/290g,"Riivitud aurutatud peet, MÕISAPROUA, 500 g",2.39,1.39,4.51,2.78,59
12317,7253618,Koka nuga Ballarini Tevere 200mm,"Kokanuga 20cm, FISKARS, 1 tk",37.99,27.9,37.99,27.9,59
10625,7178090,Õhupallid Decorata Party 12tk,"Õhupallid, PARTYDECO, 5 tk",1.89,1.39,1.89,0.28,59
4308,197645,Kaste amatriciana Gustibus 400g,"Maasikas karbis, 400g",2.89,5.99,7.22,14.98,59
12326,7267163,Külmakott 20 21l SS22,"Külmakast 24L, OUTFIT, 1 tk",19.99,34.9,19.99,34.9,59
12358,7262335,Toidukarp Curver heleroheline 1l,"Beebikelk Cruiser roheline, STIGA, 1tk",7.39,27.9,7.39,27.9,59
4507,1008600,Seesamikaste Nojo 200ml,"Pitsakate, NÕO, 300 g",5.99,2.89,29.95,9.63,59
186,974076,Bataadi chilli ja sidruni krõpsud 50g,"Chilli sin carne, PRESTO, 350g",3.05,2.79,61.0,7.97,59
4341,1009912,Oasupp kinoaga vürtsikas Auga öko 400g,"Granola kakao ja vaarika, PAULUN´S, 450 g",2.19,5.99,5.47,13.31,59
174,947534,Murakamoos Treppoja 150g,"Talusink, MAKS&MOORITS, 150 g",5.95,1.99,39.67,13.27,59
12581,7240553,Naiste sokid Mywear 3 paari 36-38 SS22,"Naiste sokid Lady 30 den, 2-paari nero, POMPEA, üks suurus",5.99,4.99,2.0,2.5,59
7718,7126996,Hambapasta Vademecum Junior 6+ 75ml,"Hambapasta Green Clean Junior 6+, JORDAN, 50 ml",3.59,3.19,0.0,63.8,59
4676,101170,Šokolaadimuna mänguasjaga Kinder Surprise 20g,"Valge šokolaad õhitud riisi ja mustikaga, KALEV, 200 g",0.99,2.29,49.5,11.45,59
9751,7086087,Kondoomid LifeStyle ext. lubricated 10tk,"Kondoomid Pleasuremax, DUREX, 3 tk",14.89,5.59,1.49,1.86,59
12249,7190999,L.skp.Bellissima B423 nat.valge 146/152,"Naiste sukkpüksid Special 40 den miele 1/2, BELLISSIMA",6.99,2.49,6.99,2.49,59
7932,7171740,Koerasööt PrimaDog kana - kartul 2kg,"Pasta koore ja ürtidega, KNORR, 62g",12.59,1.79,6.3,28.87,59
12874,7188674,"Kgt. vein Rose D´ Ete 0,75l",Mionetto Sergio Rose 75 cl,7.39,9.99,9.85,13.32,59
5266,1004922,T-šok. ampsud kirsi-tšilli ja küp. Kalev 150g,"Hummusekrõpsud tšilli ja sidruni, EAT REAL, 135 g",3.39,2.79,22.6,20.67,59
12118,7272170,Kodulõhnastaja Seal Aromas Puuviljad 100ml,"Puuviljapurutee AquaRosa, KUSMI TEA, 100 g",9.99,15.99,99.9,159.9,59
5249,811497,Võiküpsised Rimi kg,"Kiivi korvis, 1 kg",4.0,2.49,9.99,2.49,59
10476,620138,Patarei Energizer Power LR03 AAA x 4tk,"Patareid Everyday Power AAA, PANASONIC, 6+2 tk",4.29,3.99,1.07,0.5,59
12864,7110992,"Kpn.vein Faber Riesling Semi Dry 0,75l",Baron Rosen Riesling 75 cl,6.49,5.49,8.65,7.32,59
13683,1359524,"Õlu Carlsberg 5% 0,5l purk 4-pakk","Hele õlu, CARLSBERG, 330 ml pudel",6.99,1.19,3.5,3.61,59
7918,7259036,Märg kassitoit kala kastmes Nood 8tk,"Kassitoit kalaga öko, LILY`S KITCHEN, 85 g",5.29,1.79,7.78,21.06,59
3773,1003219,Riisiäädikas orgaaniline Detox 500ml,"Extra väärisoliiviõli, KALEW, 500ml",3.59,5.99,7.18,11.98,59
12124,7259015,Pintsel jääkraapriga,Peegel ja pintsetid,8.99,4.99,8.99,4.99,59
